Sample Date,PFBA (ppt),PFPeA (ppt),PFBS (ppt) ,PFHxA (ppt),PFHpA (ppt),PFHxS (ppt),PFOA (ppt) ,PFNA (ppt) ,PFOS (ppt) ,6:2 FTS (ppt),Sum of PFOS and  PFOA (ppt),Sum of All PFAS  (ppt)
04/19/23 ,Not measured,Not measured,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,0
04/05/23 ,Not detected ,2.9,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,2.9
03/21/23 ,Not detected ,3.2,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,3.2
03/07/23 ,Not detected ,5.1,Not detected ,2.6 ,2.5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,10.2
02/01/23 ,5.2 ,6.1,Not detected ,3.8 ,4.7,Not detected,Not detected,Not detected,Not detected ,2.2 ,0 ,22
01/18/23 ,Not measured,Not measured,Not detected ,4.1 ,5,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,20.9
01/03/23 ,4.8 ,6.9,Not detected ,4.3 ,4.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,20.9
12/19/22 ,5.2 ,8.3,Not detected ,4.8 ,5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,23.3
12/05/22 ,5.4 ,8.5,Not detected ,5 ,5.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,24
11/16/22 ,Not detected ,7.8,Not detected ,4.2 ,3.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,15.9
11/02/22 ,5.5 ,8.4,Not detected ,5.2 ,5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,23.5
10/18/22 ,6.2 ,9.5,Not detected ,6 ,6,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,27.7
10/04/22 ,5.1 ,8.4,Not detected ,5.2 ,4.8,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,24.1
09/21/22 ,5.9 ,9.9,Not detected ,6.1 ,5.7,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,27.6
09/06/22 ,6.2 ,8.7,Not detected ,5.7 ,5.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,25.7
08/17/22 ,5.4 ,8.1,Not detected ,5 ,4.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,22.6
08/01/22 ,5.1 ,5.5,Not detected ,3.9 ,3.4,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,17.9
07/04/22 ,Not detected ,5.3,Not detected ,3.9 ,3.3,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,12.5
06/24/22 ,5.3 ,5.6,Not detected ,3.9 ,3.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,17.9
06/06/22 ,5.2 ,4.7,Not detected ,3.6 ,2.8,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,16.3
05/02/22 ,4.9 ,3.1,Not detected ,2.2,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,10.2
04/05/22 ,6.0 ,3.3,Not detected ,2.4 ,2.2,Not detected,Not detected,Not detected,Not detected ,2.0 ,0 ,15.9
03/23/22 ,5.9 ,2.8,Not detected ,2.2 ,2,Not detected,Not detected,Not detected,Not detected ,3.4 ,0 ,16.3
03/08/22 ,5.9 ,4.1,Not detected ,3.1 ,2.9,Not detected,Not detected,Not detected,Not detected ,7.9 ,0 ,23.9
02/23/22 ,5.2 ,4.3,Not detected ,3.3 ,3.2,Not detected,Not detected,Not detected,Not detected ,9.9 ,0 ,25.9
02/07/22 ,4.9 ,4.6,Not detected ,3.6 ,3.4,Not detected,Not detected,Not detected,Not detected ,7.5 ,0 ,24
01/18/22 ,Not measured,Not measured,Not detected ,3.7 ,3.5,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,7.2
01/06/22 ,Not detected ,4.6,Not detected ,3.3 ,3.1,Not detected,Not detected,Not detected,Not detected ,3.0 ,0 ,14
12/22/21 ,Not detected ,5.4,Not detected ,3.8 ,3.6,Not detected,Not detected,Not detected,Not detected ,3.3 ,0 ,16.1
12/07/21 ,5.7 ,5.6,Not detected ,3.9 ,3.7,Not detected,Not detected,Not detected,Not detected ,2.2 ,0 ,21.1
11/17/21 ,5.3 ,7.2,Not detected ,4.9 ,4.5,Not detected,Not detected,Not detected,Not detected ,2.2 ,0 ,24.1
11/02/21 ,6.7 ,8.6,Not detected ,5.6 ,4.7,Not detected,Not detected,Not detected,Not detected ,2.3 ,0 ,27.9
10/20/21 ,Not measured,Not measured,Not detected ,6.4 ,5.2,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,11.6
10/05/21 ,7.7 ,12 ,2.0 ,7.8 ,5.6,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,35.1
09/23/21 ,5.9 ,14 ,2.1 ,7.9 ,5.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,35.8
09/09/21 ,6.3 ,13 ,2.2 ,8.3 ,6.2,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,36
08/17/21 ,8.4 ,14 ,2.1 ,10 ,6.6,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,41.1
08/03/21 ,8.9 ,15 ,2.2 ,11 ,7.3,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,44.4
07/22/21 ,Not measured,Not measured,Not detected ,8.7 ,5.7,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,14.4
07/06/21 ,6.7 ,11,Not detected ,8.0 ,5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,30.7
06/22/21 ,Not detected ,12,Not detected ,8.3 ,5.2,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,25.5
06/10/21 ,Not detected ,11,Not detected ,7.7 ,4.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,23.6
05/25/21 ,Not detected ,9,Not detected ,6.2 ,4,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,19.2
05/18/21 ,Not detected ,8.7,Not detected ,6.2 ,3.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,18.8
04/20/21 ,Not measured,Not measured,Not detected ,4.7 ,3.5,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,8.2
04/05/21 ,Not detected ,6.6,Not detected ,5.2 ,3.2,Not detected,Not detected,Not detected,Not detected ,7.3 ,0 ,22.3
03/16/21 ,Not detected ,6.7,Not detected ,5.5 ,3.1,Not detected,Not detected,Not detected,Not detected ,13 ,0 ,28.3
03/02/21 ,Not detected ,7.6,Not detected ,5.4 ,3.2,Not detected,Not detected,Not detected,Not detected ,13 ,0 ,29.2
02/17/21 ,Not detected ,6.8,Not detected ,5.0 ,3.1,Not detected,Not detected,Not detected,Not detected ,10.0 ,0 ,24.9
02/02/21 ,Not detected ,8.3,Not detected ,5.9 ,4,Not detected,Not detected,Not detected,Not detected ,8.6 ,0 ,26.8
01/20/21 ,Not measured,Not measured,Not detected ,5.3 ,4,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,9.3
01/05/21 ,Not detected ,8.5,Not detected ,6.0 ,4.2,Not detected,Not detected,Not detected,Not detected ,8.1 ,0 ,26.8
12/15/20 ,5.6 ,12,Not detected ,7.2 ,5,Not detected,Not detected,Not detected,Not detected ,4.0 ,0 ,33.8
12/01/20 ,5.2 ,13,Not detected ,7.0 ,5.2,Not detected,Not detected,Not detected,Not detected ,2.5 ,0 ,32.9
11/17/20 ,5.2 ,13,Not detected ,6.8 ,5.3,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,30.3
11/03/20 ,7.3 ,11,Not detected ,5.8 ,4.5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,28.6
10/21/20 ,Not measured,Not measured,Not detected ,4 ,3,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,7
10/21/20 ,5.8 ,11,Not detected ,5.4 ,4.3,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,26.5
10/06/20 ,5.7 ,8.9,Not detected ,4.6 ,3.7,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,22.9
09/22/20 ,Not detected ,8.2,Not detected ,4.3 ,3.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,15.6
9/1/20209,5.1 ,5.1,Not detected ,3.0 ,2,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,15.2
08/19/20 ,4.7 ,4.1 ,1.7 J ,2.8 ,1.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,15.2
08/04/20 ,6.4 ,4.4 ,1.9 J ,3.0 ,1.7 J,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,17.4
07/21/20 ,4.3 ,3.9 ,1.5 J ,2.5 ,1.6 J,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,13.8
07/07/20 ,5.8 ,4.3 ,1.8 ,3.0 ,2,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,16.9
06/16/20 ,3.8 ,3.4 ,1.1 J ,2.1 ,1.5 J,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,11.9
06/01/20 ,6.3 ,3.9 ,1.4 J ,2.6 ,1.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,16.1
05/27/20 ,5.9 ,5.0 ,1.6 J ,2.6 ,2.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,17.2
05/19/20 ,4.3 ,3.3 ,1.1 J ,2.0 ,1.3 J,Not detected,Not detected,Not detected ,3.1,Not detected ,3.1 ,15.1
05/05/20 ,1.2 J ,3.8 ,1.2 J ,2.4 ,1.7 J,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,10.3
04/21/20 ,4.0 ,3.6 ,0.95J ,2.1 ,1.8,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,12.5
04/07/20 ,4.4 ,4.9 ,1.2 J ,3.2 ,2.7,Not detected,Not detected,Not detected,Not detected ,2.9 ,0 ,19.3
03/17/20 ,4.0 ,4.2,Not detected ,2.6 ,2,Not detected,Not detected,Not detected,Not detected ,4.5 ,0 ,17.3
03/03/20 ,4.4 ,5.0 ,1.1 J ,2.6 ,2.4,Not detected,Not detected,Not detected,Not detected ,5.8 ,0 ,21.3
02/18/20 ,3.7 ,3.0 ,0.95 J ,1.8 ,1.4 J,Not detected,Not detected,Not detected,Not detected ,4.3 ,0 ,15.2
02/04/20 ,5.6 ,3.1 ,1.0 J ,1.9 ,2.1,Not detected,Not detected,Not detected,Not detected ,3.4 J ,0 ,17.1
01/21/20 ,4.7 ,3.1 ,1.0 J ,1.8 J ,1.5 J,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,12.1
01/07/20 ,4.2 ,4.0 ,0.9 J ,2.1 ,1.9,Not detected,Not detected,Not detected,Not detected ,2.5 J ,0 ,15.6
12/16/19 ,5.3 ,5.9 ,1.5 J ,3.5 ,3.4,Not detected,Not detected,Not detected,Not detected ,3.9 ,0 ,23.4
12/03/19 ,4.7 J ,5.6 ,1.2 J ,2.9 ,2.7,Not detected,Not detected,Not detected,Not detected ,2.5 J ,0 ,19.6
11/19/19 ,6.1 J ,5.8 ,1.3 J ,3.0 J ,2.7 J,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,18.9
11/5/20196,9.8 ,7.1 ,1.4 J ,3.5 ,3.5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,25.3
10/15/19 ,5.4 ,10,Not detected ,4.9 ,4.8,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,25.1
10/02/19 ,7.3 J ,8.3 ,1.8 J ,3.9 ,3.8,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,25.1
10/02/19 ,5.5 ,11.0 ,2.3 ,5.5 ,4.7,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,29
09/19/19 ,5.9 ,10.0 ,2.4 ,4.8 ,3.7,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,26.8
09/04/19 ,5.2 ,7.7,Not detected ,3.8 ,2.5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,19.2
08/21/19 ,4.1 ,5.9,Not detected ,2.9,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,12.9
08/06/19 ,5.1 ,6.8,Not detected ,3.4,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,15.3
07/23/19 ,5.5 ,4.7,Not detected ,2.5,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,12.7
07/10/19 ,5.4 ,6.1,Not detected ,2.9,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,14.4
07/02/19 ,3.0 ,9.7 ,1.6 J ,4.4 ,2.4,Not detected,Not detected,Not detected ,1.2 J,Not detected ,1.2 ,22.3
06/25/19 ,2.6 ,5.8 ,0.98 J ,2.6 ,1.4 J,Not detected,Not detected,Not detected ,0.7 J,Not detected ,0.7 ,14.1
06/12/19 ,2.9 ,4.7,Not detected ,2.2 ,1.5 J,Not detected,Not detected,Not detected ,0.7 J,Not detected ,0.7 ,12
06/05/19 ,5.4 ,3.8,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,9.2
05/29/19 ,3.7 ,4.7,Not detected ,2.2,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,10.6
05/15/19 ,2.8 ,4.3 ,3.9 ,2.5,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,13.5
05/01/19 ,2.0 ,1.9,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,3.9
04/17/19 ,Not detected ,2,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,2
04/03/19 ,2.4 ,3.3,Not detected ,1.9 J ,1.2 J,Not detected,Not detected,Not detected ,1.2 J ,1.5 J ,1.2 ,11.5
03/20/19 ,4.5 ,6.7 ,1.4 J ,4.2 ,2.7,Not detected ,0.9 J,Not detected ,3.4 ,4.0 ,4.3 ,27.7
03/05/19 ,3.8 ,7.0 ,1.6 J ,5.4 ,3.2,Not detected ,1.0 J,Not detected ,2.7 ,5.3 ,3.7 ,30
02/13/19 ,3.1 ,6.4,Not detected ,4.0 ,2.7,Not detected,Not detected,Not detected ,2.2 ,5.3 ,2.2 ,23.7
02/06/19 ,Not detected ,4.3,Not detected ,2.9 ,2.1,Not detected,Not detected,Not detected ,2.6 ,2.8 ,2.6 ,14.7
01/30/19 ,2.6 ,5.2,Not detected ,3.5 ,2.7,Not detected,Not detected,Not detected ,2.3 ,4.5 ,2.3 ,20.8
01/16/19 ,3.1 ,7.5,Not detected ,5.2 ,2.8,Not detected,Not detected,Not detected ,2.5 ,4.8 ,2.5 ,25.9
01/09/19 ,2.6 ,5.3,Not detected ,2.9 ,1.9,Not detected,Not detected,Not detected ,2.1 ,2.4 ,2.1 ,17.2
01/02/19 ,2.7 ,6.3,Not detected ,3.8 ,2.6,Not detected,Not detected,Not detected ,3.5 ,2.4 ,3.5 ,21.3
12/20/18 ,4.0 ,11,Not detected ,5.3 ,3.5,Not detected,Not detected,Not detected ,5.8,Not measured ,5.8 ,29.6
12/19/20185,5.9 ,14,Not detected ,8,Not detected,Not detected,Not detected,Not detected ,6.5,Not detected ,6.5 ,34.4
12/5/20184 ,Not measured,Not measured,Not detected4,Not measured ,4.34,Not detected4,Not detected4,Not detected4,Not detected4,Not measured,Not detected4 ,4.34
11/21/18 ,5.7 ,20,Not detected ,8.6 ,5.1,Not detected,Not detected,Not detected ,12,Not measured ,12.0 ,51.4
11/21/18 ,5.4 ,23 ,2.1 ,8.7 ,5.2,Not detected,Not detected,Not detected ,12,Not measured ,12.0 ,56.4
11/07/18 ,5.1 ,19 ,1.8 ,10 ,5,Not detected,Not detected,Not detected ,13,Not measured ,13.0 ,53.6
10/09/18 ,8.2 ,29 ,5.2 ,14 ,10,Not detected,Not detected,Not detected ,22,Not measured ,22.0 ,88.1
09/04/18 ,5.6 ,18 ,5.3 ,10 ,9,Not detected,Not detected,Not detected ,5.3,Not measured ,5.3 ,53.2
08/06/18 ,5.6 ,15 ,4.0 ,8.0 ,7.5,Not detected ,2,Not detected ,4.3,Not measured ,6.3 ,46.4
07/17/18 ,5.0 ,12 ,3.0 ,7.0 ,6,Not detected,Not detected,Not detected ,4,Not measured ,4.0 ,37
07/03/18 ,5.7 ,10 ,4.2 ,6.1 ,5,Not detected,Not detected,Not detected ,4.3,Not measured ,4.3 ,35.3
06/01/18 ,3.7 ,7.5 ,2.2 ,4.0 ,3.7,Not detected,Not detected,Not detected ,5.3,Not measured ,5.3 ,26.4
05/08/18 ,4.0 ,8.3 ,2.5 ,5.5 ,4.4,Not detected,Not detected,Not detected ,4.3,Not measured ,4.3 ,29
05/07/18 ,4.4 ,8.7 ,2.3 ,5.4 ,4.2,Not detected,Not detected,Not detected ,3,Not measured ,3.0 ,28
04/03/18 ,3.1 ,4.6,Not detected ,2.7 ,2.2,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,12.6
03/07/18 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured,Not detected,Not measured ,0 ,0
02/06/18 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,2.7,Not measured ,2.7 ,2.7
01/12/18 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,3.5,Not measured ,3.5 ,3.5
01/09/18 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,4.8,Not measured ,4.8 ,4.8
12/14/17 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,4.6,Not measured ,4.6 ,4.6
12/05/17 ,Not measured,Not measured,Not detected,Not measured ,13.1,Not detected ,2.1,Not detected,Not detected,Not measured ,2.1 ,15.2
11/07/17 ,Not measured,Not measured,Not detected,Not measured ,18.6,Not detected ,2.7,Not detected,Not detected,Not measured ,2.7 ,21.3
10/03/17 ,Not measured,Not measured,Not detected,Not measured ,11,Not detected ,3.6,Not detected,Not detected,Not measured ,3.6 ,14.6
09/05/17 ,Not measured,Not measured,Not detected,Not measured,Not detected,Not detected ,2.4,Not detected,Not detected,Not measured ,2.4 ,2.4
08/07/17 ,Not measured,Not measured,Not detected,Not measured,Not detected,Not detected ,2.3,Not detected,Not detected,Not measured ,2.3 ,2.3
07/19/17 ,Not measured,Not measured,Not detected,Not measured,Not detected,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,0
07/06/17 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured ,2.2,Not measured ,7.7,Not measured ,9.9 ,9.9
06/06/17 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,7.9,Not measured ,7.9 ,7.9
05/09/17 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,4.3,Not measured ,4.3 ,4.3
04/04/17 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured ,4.5,Not measured ,4.5 ,4.5
03/08/17 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured ,3.3,Not measured ,3.3 ,3.3
02/07/17 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,4.8,Not measured ,4.8 ,4.8
01/04/17 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,5.4,Not measured ,5.4 ,5.4
12/12/16 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured ,7.5,Not measured ,7.5 ,7.5
11/08/16 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not detected,Not measured ,8.1,Not measured ,8.1 ,8.1
10/05/16 ,Not measured,Not measured ,5.3,Not measured ,4.8,Not detected,Not detected,Not detected ,7.1,Not measured ,7.1 ,17.2
07/21/16 ,Not measured,Not measured ,9.2,Not measured ,5.3,Not detected ,3,Not detected ,16,Not measured ,19.0 ,33.5
03/28/16 ,Not measured,Not measured,Not detected,Not measured ,2.1,Not detected,Not detected,Not detected ,11,Not measured ,11.0 ,13.1
03/05/14 ,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured,Not measured ,43,Not measured ,43 ,43